time,turbine_id,temperature_2m,pressure_msl,wind_speed_100m,wind_direction_100m,air_density_kg_m3
2024-08-04 14:00:00+00:00,T01,32.43,1009.7,4.49,200,1.151
2024-08-04 15:00:00+00:00,T01,30.0,1010.4,3.74,175,1.161
2024-08-04 16:00:00+00:00,T01,29.9,1010.6,5.21,181,1.162
2024-08-04 17:00:00+00:00,T01,27.24,1010.2,7.81,217,1.172
2024-08-04 18:00:00+00:00,T01,27.41,1012.4,4.6,223,1.173
2024-08-04 19:00:00+00:00,T01,26.98,1009.1,7.02,219,1.171
2024-08-04 20:00:00+00:00,T01,26.69,1010.3,6.19,214,1.174
2024-08-04 21:00:00+00:00,T01,27.08,1013.5,4.14,236,1.176
2024-08-04 22:00:00+00:00,T01,23.39,1011.1,7.82,205,1.188
2024-08-04 23:00:00+00:00,T01,26.05,1011.1,5.6,221,1.177
2024-08-05 00:00:00+00:00,T01,26.73,1010.9,4.71,253,1.174
2024-08-05 01:00:00+00:00,T01,27.47,1011.7,5.82,250,1.172
2024-08-05 02:00:00+00:00,T01,26.74,1012.9,6.21,261,1.177
2024-08-05 03:00:00+00:00,T01,29.13,1013.4,7.63,226,1.168
2024-08-05 04:00:00+00:00,T01,31.64,1013.6,6.3,241,1.159
2024-08-05 05:00:00+00:00,T01,29.95,1012.6,9.77,213,1.164
2024-08-05 06:00:00+00:00,T01,33.06,1012.0,7.5,257,1.151
2024-08-05 07:00:00+00:00,T01,34.63,1013.6,5.45,230,1.147
2024-08-05 08:00:00+00:00,T01,33.42,1015.4,4.8,210,1.154
2024-08-05 09:00:00+00:00,T01,35.44,1014.2,6.73,231,1.145
2024-08-05 10:00:00+00:00,T01,34.3,1013.7,2.5,248,1.149
2024-08-05 11:00:00+00:00,T01,34.27,1014.8,1.95,185,1.15
2024-08-05 12:00:00+00:00,T01,33.63,1013.7,3.62,211,1.151
2024-08-05 13:00:00+00:00,T01,33.35,1014.3,5.36,273,1.153
2024-08-05 14:00:00+00:00,T01,32.54,1013.4,4.56,243,1.155
2024-08-05 15:00:00+00:00,T01,32.28,1014.2,4.47,240,1.157
2024-08-05 16:00:00+00:00,T01,29.44,1014.9,3.51,203,1.168
2024-08-05 17:00:00+00:00,T01,28.4,1014.4,1.12,284,1.172
2024-08-05 18:00:00+00:00,T01,28.31,1015.4,3.56,269,1.173
2024-08-05 19:00:00+00:00,T01,26.87,1016.4,1.49,252,1.18
2024-08-05 20:00:00+00:00,T01,24.43,1016.6,5.74,209,1.19
2024-08-05 21:00:00+00:00,T01,25.43,1014.9,4.69,239,1.184
2024-08-05 22:00:00+00:00,T01,24.48,1014.7,4.85,247,1.188
2024-08-05 23:00:00+00:00,T01,25.44,1014.1,5.72,215,1.183
2024-08-06 00:00:00+00:00,T01,25.87,1013.9,5.57,217,1.181
2024-08-06 01:00:00+00:00,T01,27.87,1016.0,6.19,202,1.176
2024-08-06 02:00:00+00:00,T01,27.48,1015.8,6.08,231,1.177
2024-08-06 03:00:00+00:00,T01,26.95,1014.5,4.6,210,1.178
2024-08-06 04:00:00+00:00,T01,28.99,1015.4,3.93,204,1.171
2024-08-06 05:00:00+00:00,T01,31.84,1015.1,6.33,175,1.16
2024-08-06 06:00:00+00:00,T01,32.5,1014.4,7.7,170,1.156
2024-08-06 07:00:00+00:00,T01,34.65,1013.8,6.88,229,1.147
2024-08-06 08:00:00+00:00,T01,34.46,1015.9,4.93,242,1.151
2024-08-06 09:00:00+00:00,T01,34.02,1015.3,6.23,227,1.151
2024-08-06 10:00:00+00:00,T01,35.99,1013.2,3.88,242,1.142
2024-08-06 11:00:00+00:00,T01,34.06,1012.9,4.54,187,1.149
2024-08-06 12:00:00+00:00,T01,32.5,1013.3,2.97,206,1.155
2024-08-06 13:00:00+00:00,T01,35.27,1013.6,4.16,215,1.145
2024-08-06 14:00:00+00:00,T01,30.89,1015.4,6.64,198,1.163
2024-08-06 15:00:00+00:00,T01,31.74,1015.1,4.62,245,1.16
2024-08-06 16:00:00+00:00,T01,30.75,1014.5,6.08,169,1.163
2024-08-06 17:00:00+00:00,T01,28.8,1014.2,2.79,195,1.17
2024-08-06 18:00:00+00:00,T01,25.73,1014.5,2.87,199,1.183
2024-08-06 19:00:00+00:00,T01,27.31,1013.6,4.23,200,1.175
2024-08-06 20:00:00+00:00,T01,24.33,1014.0,5.23,223,1.187
2024-08-06 21:00:00+00:00,T01,23.67,1011.4,4.46,159,1.187
2024-08-06 22:00:00+00:00,T01,24.32,1009.6,6.76,243,1.182
2024-08-06 23:00:00+00:00,T01,26.12,1011.6,4.56,244,1.178
2024-08-07 00:00:00+00:00,T01,25.88,1014.0,8.22,229,1.181
2024-08-07 01:00:00+00:00,T01,27.16,1011.6,7.86,257,1.173
2024-08-07 02:00:00+00:00,T01,26.97,1010.8,4.91,288,1.173
2024-08-07 03:00:00+00:00,T01,28.85,1012.4,7.81,232,1.168
2024-08-07 04:00:00+00:00,T01,28.94,1011.2,6.73,251,1.166
2024-08-07 05:00:00+00:00,T01,30.66,1010.8,8.42,248,1.159
2024-08-07 06:00:00+00:00,T01,33.12,1013.2,6.07,253,1.152
2024-08-07 07:00:00+00:00,T01,33.08,1010.4,7.18,219,1.149
2024-08-07 08:00:00+00:00,T01,34.84,1012.2,7.88,219,1.145
2024-08-07 09:00:00+00:00,T01,34.28,1010.2,1.96,258,1.145
2024-08-07 10:00:00+00:00,T01,34.72,1010.6,3.42,228,1.144
2024-08-07 11:00:00+00:00,T01,34.95,1010.6,6.39,262,1.143
2024-08-07 12:00:00+00:00,T01,34.07,1010.7,5.3,264,1.146
2024-08-07 13:00:00+00:00,T01,34.35,1011.1,6.83,231,1.145
2024-08-07 14:00:00+00:00,T01,33.19,1010.9,5.48,253,1.15
2024-08-07 15:00:00+00:00,T01,32.75,1010.0,2.94,247,1.15
2024-08-07 16:00:00+00:00,T01,30.01,1009.7,6.05,235,1.16
2024-08-07 17:00:00+00:00,T01,28.57,1008.4,4.13,271,1.164
2024-08-07 18:00:00+00:00,T01,26.65,1009.6,4.82,239,1.173
2024-08-07 19:00:00+00:00,T01,26.24,1009.7,4.7,241,1.175
2024-08-07 20:00:00+00:00,T01,26.09,1009.0,6.42,188,1.175
2024-08-07 21:00:00+00:00,T01,24.78,1008.1,3.91,239,1.179
2024-08-07 22:00:00+00:00,T01,24.99,1009.1,4.51,186,1.179
2024-08-07 23:00:00+00:00,T01,25.71,1007.9,3.47,211,1.175
2024-08-08 00:00:00+00:00,T01,25.91,1009.3,9.93,266,1.176
2024-08-08 01:00:00+00:00,T01,26.24,1008.8,5.54,265,1.174
2024-08-08 02:00:00+00:00,T01,28.52,1008.3,6.02,206,1.164
2024-08-08 03:00:00+00:00,T01,28.6,1009.2,5.41,179,1.165
2024-08-08 04:00:00+00:00,T01,30.36,1011.1,6.36,216,1.161
2024-08-08 05:00:00+00:00,T01,32.64,1009.8,6.37,201,1.15
2024-08-08 06:00:00+00:00,T01,33.13,1010.6,8.58,217,1.149
2024-08-08 07:00:00+00:00,T01,32.91,1009.0,6.9,175,1.149
2024-08-08 08:00:00+00:00,T01,33.7,1009.0,7.06,237,1.145
2024-08-08 09:00:00+00:00,T01,35.28,1009.8,4.93,244,1.141
2024-08-08 10:00:00+00:00,T01,34.93,1010.1,5.24,172,1.142
2024-08-08 11:00:00+00:00,T01,33.21,1012.4,7.03,181,1.151
2024-08-08 12:00:00+00:00,T01,35.52,1011.3,4.74,191,1.141
2024-08-08 13:00:00+00:00,T01,33.57,1011.2,4.89,223,1.149
2024-08-08 14:00:00+00:00,T01,33.4,1011.4,1.19,152,1.149
2024-08-08 15:00:00+00:00,T01,30.95,1008.5,5.04,210,1.155
2024-08-08 16:00:00+00:00,T01,31.25,1010.2,4.77,209,1.156
2024-08-08 17:00:00+00:00,T01,28.44,1010.9,6.31,182,1.168
2024-08-08 18:00:00+00:00,T01,27.31,1012.3,0.0,224,1.174
2024-08-08 19:00:00+00:00,T01,25.52,1012.0,4.52,160,1.18
2024-08-08 20:00:00+00:00,T01,25.54,1011.3,4.44,179,1.18
2024-08-08 21:00:00+00:00,T01,25.0,1011.6,4.4,195,1.182
2024-08-08 22:00:00+00:00,T01,24.74,1012.6,3.61,242,1.184
2024-08-08 23:00:00+00:00,T01,25.42,1011.9,5.22,210,1.181
2024-08-09 00:00:00+00:00,T01,25.61,1011.1,6.71,205,1.179
2024-08-09 01:00:00+00:00,T01,27.15,1011.6,5.41,235,1.174
2024-08-09 02:00:00+00:00,T01,26.83,1013.2,5.03,212,1.177
2024-08-09 03:00:00+00:00,T01,28.18,1011.6,5.64,213,1.169
2024-08-09 04:00:00+00:00,T01,30.07,1013.8,5.01,224,1.165
2024-08-09 05:00:00+00:00,T01,32.06,1013.1,5.61,246,1.156
2024-08-09 06:00:00+00:00,T01,33.72,1014.4,4.54,309,1.152
2024-08-09 07:00:00+00:00,T01,33.99,1015.2,2.33,209,1.151
2024-08-09 08:00:00+00:00,T01,32.75,1012.9,6.47,251,1.154
2024-08-09 09:00:00+00:00,T01,35.0,1013.4,1.82,233,1.146
2024-08-09 10:00:00+00:00,T01,36.15,1013.4,4.47,243,1.141
2024-08-09 11:00:00+00:00,T01,34.87,1012.9,1.88,275,1.146
2024-08-09 12:00:00+00:00,T01,33.91,1013.5,3.82,260,1.15
2024-08-09 13:00:00+00:00,T01,33.83,1014.2,2.28,261,1.151
2024-08-09 14:00:00+00:00,T01,32.08,1015.1,3.6,230,1.159
2024-08-09 15:00:00+00:00,T01,31.82,1013.4,2.34,216,1.158
2024-08-09 16:00:00+00:00,T01,30.0,1014.8,1.17,251,1.166
2024-08-09 17:00:00+00:00,T01,30.21,1015.2,3.96,228,1.166
2024-08-09 18:00:00+00:00,T01,28.39,1016.4,5.6,227,1.174
2024-08-09 19:00:00+00:00,T01,26.04,1012.9,4.7,246,1.179
2024-08-09 20:00:00+00:00,T01,26.17,1016.1,4.99,207,1.183
2024-08-09 21:00:00+00:00,T01,26.09,1016.0,3.19,216,1.183
2024-08-09 22:00:00+00:00,T01,24.68,1014.1,5.11,250,1.186
2024-08-09 23:00:00+00:00,T01,24.99,1013.1,5.8,228,1.184
2024-08-10 00:00:00+00:00,T01,23.85,1015.8,4.92,239,1.191
2024-08-10 01:00:00+00:00,T01,27.53,1014.5,7.61,199,1.175
2024-08-10 02:00:00+00:00,T01,27.05,1015.1,6.5,240,1.178
2024-08-10 03:00:00+00:00,T01,26.75,1014.7,7.48,194,1.179
2024-08-10 04:00:00+00:00,T01,28.11,1014.5,6.53,246,1.173
2024-08-10 05:00:00+00:00,T01,31.31,1014.2,6.23,230,1.161
2024-08-10 06:00:00+00:00,T01,33.3,1015.6,7.35,220,1.154
2024-08-10 07:00:00+00:00,T01,33.29,1015.3,7.0,245,1.154
2024-08-10 08:00:00+00:00,T01,34.75,1016.2,7.29,205,1.15
2024-08-10 09:00:00+00:00,T01,33.76,1016.1,4.88,189,1.153
2024-08-10 10:00:00+00:00,T01,33.7,1014.1,4.61,244,1.151
2024-08-10 11:00:00+00:00,T01,35.98,1014.0,5.94,217,1.143
2024-08-10 12:00:00+00:00,T01,34.7,1016.0,2.69,237,1.15
2024-08-10 13:00:00+00:00,T01,33.99,1014.5,7.26,206,1.151
2024-08-10 14:00:00+00:00,T01,33.62,1014.6,5.87,232,1.152
2024-08-10 15:00:00+00:00,T01,30.3,1013.1,5.27,180,1.163
2024-08-10 16:00:00+00:00,T01,29.65,1014.9,4.51,173,1.168
2024-08-10 17:00:00+00:00,T01,30.11,1012.5,6.41,170,1.163
2024-08-10 18:00:00+00:00,T01,29.12,1012.3,4.85,233,1.167
2024-08-10 19:00:00+00:00,T01,26.57,1011.8,8.38,163,1.176
2024-08-10 20:00:00+00:00,T01,26.73,1012.9,6.38,171,1.177
2024-08-10 21:00:00+00:00,T01,24.75,1012.3,3.58,179,1.184
2024-08-10 22:00:00+00:00,T01,25.03,1011.4,7.55,223,1.182
2024-08-10 23:00:00+00:00,T01,24.99,1011.2,5.9,234,1.182
2024-08-11 00:00:00+00:00,T01,24.51,1010.8,5.93,200,1.183
2024-08-11 01:00:00+00:00,T01,26.65,1010.5,6.29,248,1.174
2024-08-11 02:00:00+00:00,T01,28.48,1011.2,7.28,240,1.168
2024-08-11 03:00:00+00:00,T01,28.53,1010.9,7.95,260,1.167
2024-08-11 04:00:00+00:00,T01,29.87,1010.2,8.59,257,1.161
2024-08-11 05:00:00+00:00,T01,32.61,1011.8,8.03,216,1.153
2024-08-11 06:00:00+00:00,T01,31.6,1009.2,6.27,249,1.154
2024-08-11 07:00:00+00:00,T01,32.21,1010.5,4.7,238,1.153
2024-08-11 08:00:00+00:00,T01,33.74,1011.0,5.52,257,1.148
2024-08-11 09:00:00+00:00,T01,33.56,1008.9,6.46,247,1.146
2024-08-11 10:00:00+00:00,T01,35.87,1009.8,6.64,240,1.138
2024-08-11 11:00:00+00:00,T01,35.14,1009.2,7.86,262,1.14
2024-08-11 12:00:00+00:00,T01,33.51,1009.0,2.69,251,1.146
2024-08-11 13:00:00+00:00,T01,33.03,1010.0,4.7,268,1.149
2024-08-11 14:00:00+00:00,T01,35.28,1008.7,4.28,247,1.139
2024-08-11 15:00:00+00:00,T01,30.91,1009.8,3.47,239,1.157
2024-08-11 16:00:00+00:00,T01,29.13,1010.4,4.32,266,1.164
2024-08-11 17:00:00+00:00,T01,29.03,1008.1,3.97,268,1.162
2024-08-11 18:00:00+00:00,T01,28.12,1007.9,3.89,265,1.165
2024-08-11 19:00:00+00:00,T01,26.61,1010.9,3.02,255,1.175
2024-08-11 20:00:00+00:00,T01,24.4,1010.6,4.57,226,1.183
2024-08-11 21:00:00+00:00,T01,23.97,1006.7,6.49,237,1.18
2024-08-11 22:00:00+00:00,T01,25.52,1009.5,6.81,236,1.178
2024-08-11 23:00:00+00:00,T01,25.27,1008.9,3.64,184,1.178
2024-08-12 00:00:00+00:00,T01,24.13,1010.0,3.05,196,1.184
2024-08-12 01:00:00+00:00,T01,27.24,1008.8,5.23,265,1.17
2024-08-12 02:00:00+00:00,T01,28.47,1008.3,3.88,215,1.165
2024-08-12 03:00:00+00:00,T01,28.48,1009.1,7.07,144,1.165
2024-08-12 04:00:00+00:00,T01,29.68,1010.5,4.35,207,1.162
2024-08-12 05:00:00+00:00,T01,31.6,1009.0,6.0,217,1.153
2024-08-12 06:00:00+00:00,T01,32.01,1007.0,3.08,182,1.15
2024-08-12 07:00:00+00:00,T01,32.3,1009.0,4.74,265,1.151
2024-08-12 08:00:00+00:00,T01,34.5,1008.1,5.37,228,1.142
2024-08-12 09:00:00+00:00,T01,33.41,1008.4,7.38,228,1.146
2024-08-12 10:00:00+00:00,T01,35.5,1009.5,3.35,203,1.139
2024-08-12 11:00:00+00:00,T01,33.5,1007.9,4.8,213,1.145
2024-08-12 12:00:00+00:00,T01,34.34,1007.7,0.74,224,1.142
2024-08-12 13:00:00+00:00,T01,33.02,1009.6,2.19,216,1.149
2024-08-12 14:00:00+00:00,T01,34.0,1009.3,2.6,185,1.145
2024-08-12 15:00:00+00:00,T01,30.26,1009.8,2.68,211,1.159
2024-08-12 16:00:00+00:00,T01,28.63,1010.2,4.33,210,1.166
2024-08-12 17:00:00+00:00,T01,27.73,1009.7,4.24,211,1.169
2024-08-12 18:00:00+00:00,T01,26.4,1011.5,1.46,173,1.176
2024-08-12 19:00:00+00:00,T01,26.24,1011.8,4.7,214,1.177
2024-08-12 20:00:00+00:00,T01,26.11,1012.3,2.67,220,1.178
2024-08-12 21:00:00+00:00,T01,25.76,1011.6,7.83,227,1.179
2024-08-12 22:00:00+00:00,T01,26.34,1011.9,6.22,223,1.177
2024-08-12 23:00:00+00:00,T01,24.23,1012.5,5.9,181,1.186
2024-08-13 00:00:00+00:00,T01,28.08,1013.3,5.69,251,1.172
2024-08-13 01:00:00+00:00,T01,28.09,1013.9,6.19,248,1.173
2024-08-13 02:00:00+00:00,T01,27.23,1012.5,6.8,200,1.174
2024-08-13 03:00:00+00:00,T01,26.81,1011.5,5.73,236,1.175
2024-08-13 04:00:00+00:00,T01,30.11,1014.4,8.3,214,1.165
2024-08-13 05:00:00+00:00,T01,31.48,1014.7,7.76,224,1.16
2024-08-13 06:00:00+00:00,T01,30.09,1015.3,8.22,260,1.166
2024-08-13 07:00:00+00:00,T01,33.48,1010.8,6.62,254,1.148
2024-08-13 08:00:00+00:00,T01,34.38,1013.1,7.85,286,1.148
2024-08-13 09:00:00+00:00,T01,33.88,1010.4,5.11,248,1.147
2024-08-13 10:00:00+00:00,T01,35.8,1014.4,11.07,214,1.144
2024-08-13 11:00:00+00:00,T01,35.72,1013.8,5.12,252,1.143
2024-08-13 12:00:00+00:00,T01,34.07,1013.9,5.47,181,1.15
2024-08-13 13:00:00+00:00,T01,33.65,1013.8,7.23,289,1.151
2024-08-13 14:00:00+00:00,T01,31.67,1015.3,7.05,246,1.16
2024-08-13 15:00:00+00:00,T01,30.38,1014.0,3.17,256,1.164
2024-08-13 16:00:00+00:00,T01,30.35,1015.3,2.5,241,1.165
2024-08-13 17:00:00+00:00,T01,29.11,1014.9,3.28,223,1.17
2024-08-13 18:00:00+00:00,T01,26.74,1014.6,3.76,236,1.179
2024-08-13 19:00:00+00:00,T01,24.63,1015.7,4.71,208,1.188
2024-08-13 20:00:00+00:00,T01,25.88,1015.1,5.33,215,1.183
2024-08-13 21:00:00+00:00,T01,23.69,1013.8,7.71,239,1.19
2024-08-13 22:00:00+00:00,T01,25.17,1015.3,8.0,198,1.186
2024-08-13 23:00:00+00:00,T01,26.82,1016.0,5.75,274,1.18
2024-08-14 00:00:00+00:00,T01,25.73,1014.8,7.32,193,1.183
2024-08-14 01:00:00+00:00,T01,25.36,1015.7,8.35,239,1.185
2024-08-14 02:00:00+00:00,T01,25.68,1015.9,9.36,201,1.184
2024-08-14 03:00:00+00:00,T01,29.8,1013.6,6.92,184,1.166
2024-08-14 04:00:00+00:00,T01,29.96,1015.2,5.79,228,1.167
2024-08-14 05:00:00+00:00,T01,31.73,1014.1,8.12,214,1.159
2024-08-14 06:00:00+00:00,T01,33.42,1013.6,8.96,196,1.152
2024-08-14 07:00:00+00:00,T01,33.63,1015.1,5.95,210,1.153
2024-08-14 08:00:00+00:00,T01,34.08,1013.7,9.49,191,1.149
2024-08-14 09:00:00+00:00,T01,34.27,1014.3,8.62,207,1.149
2024-08-14 10:00:00+00:00,T01,32.66,1015.0,5.26,187,1.156
2024-08-14 11:00:00+00:00,T01,33.51,1015.1,2.76,201,1.153
2024-08-14 12:00:00+00:00,T01,34.19,1014.8,3.93,230,1.15
2024-08-14 13:00:00+00:00,T01,33.11,1016.1,3.44,171,1.156
2024-08-14 14:00:00+00:00,T01,32.97,1013.2,4.98,186,1.153
2024-08-14 15:00:00+00:00,T01,30.82,1013.7,1.69,184,1.162
2024-08-14 16:00:00+00:00,T01,30.47,1012.8,7.35,180,1.162
2024-08-14 17:00:00+00:00,T01,29.6,1013.7,7.49,170,1.166
2024-08-14 18:00:00+00:00,T01,26.59,1014.0,2.38,200,1.178
2024-08-14 19:00:00+00:00,T01,26.34,1013.8,1.17,214,1.179
2024-08-14 20:00:00+00:00,T01,24.04,1012.4,3.84,200,1.187
2024-08-14 21:00:00+00:00,T01,25.82,1011.9,5.12,170,1.179
2024-08-14 22:00:00+00:00,T01,25.17,1012.6,6.67,234,1.183
2024-08-14 23:00:00+00:00,T01,25.4,1012.4,6.5,242,1.181
2024-08-15 00:00:00+00:00,T01,27.1,1013.1,4.01,226,1.176
2024-08-15 01:00:00+00:00,T01,27.41,1011.1,2.01,189,1.172
2024-08-15 02:00:00+00:00,T01,27.75,1013.4,6.07,196,1.173
2024-08-15 03:00:00+00:00,T01,29.46,1012.6,6.86,278,1.166
2024-08-15 04:00:00+00:00,T01,29.02,1011.9,4.96,273,1.167
2024-08-15 05:00:00+00:00,T01,31.84,1010.2,5.78,244,1.154
2024-08-15 06:00:00+00:00,T01,32.47,1010.4,5.33,220,1.152
2024-08-15 07:00:00+00:00,T01,31.84,1010.0,4.52,263,1.154
2024-08-15 08:00:00+00:00,T01,35.1,1010.0,3.03,247,1.141
2024-08-15 09:00:00+00:00,T01,34.2,1010.4,5.61,280,1.145
2024-08-15 10:00:00+00:00,T01,35.04,1010.3,2.11,223,1.142
2024-08-15 11:00:00+00:00,T01,34.28,1010.2,6.95,244,1.145
2024-08-15 12:00:00+00:00,T01,34.73,1011.0,2.83,230,1.144
2024-08-15 13:00:00+00:00,T01,34.59,1008.0,4.37,265,1.141
2024-08-15 14:00:00+00:00,T01,31.88,1008.2,2.68,224,1.151
2024-08-15 15:00:00+00:00,T01,29.73,1008.0,4.33,264,1.159
2024-08-15 16:00:00+00:00,T01,29.76,1008.6,2.91,230,1.16
2024-08-15 17:00:00+00:00,T01,29.37,1007.1,4.03,213,1.16
2024-08-15 18:00:00+00:00,T01,27.21,1009.4,3.02,251,1.171
2024-08-15 19:00:00+00:00,T01,25.6,1009.5,1.41,239,1.177
