time,turbine_id,temperature_2m,pressure_msl,wind_speed_100m,wind_direction_100m,air_density_kg_m3,expected_power_kw,actual_power_kw,nacelle_temp_c,vibration_mm_s,alert,hour
2024-08-03 09:00:00+00:00,T01,36.42,1011.0,6.75,186,1.138,236.8,0.0,47.4,2.98,Normal,9
2024-08-03 10:00:00+00:00,T01,34.62,1010.4,5.23,244,1.144,49.8,0.0,44.4,1.62,Normal,10
2024-08-03 11:00:00+00:00,T01,33.82,1010.6,5.0,250,1.147,35.9,0.0,42.5,2.02,Normal,11
2024-08-03 12:00:00+00:00,T01,34.96,1008.6,3.26,268,1.14,0.1,0.0,43.5,2.36,Normal,12
2024-08-03 13:00:00+00:00,T01,33.91,1008.7,3.9,271,1.144,3.3,0.0,44.6,3.2,Normal,13
2024-08-03 14:00:00+00:00,T01,31.89,1007.5,3.75,228,1.151,1.9,44.1,42.7,3.34,Normal,14
2024-08-03 15:00:00+00:00,T01,32.34,1009.3,4.81,258,1.151,26.6,0.0,41.6,3.01,Normal,15
2024-08-03 16:00:00+00:00,T01,30.28,1008.9,2.07,199,1.158,0.0,34.6,38.2,2.96,Normal,16
2024-08-03 17:00:00+00:00,T01,29.12,1009.0,0.3,237,1.163,0.0,0.0,35.6,2.85,Normal,17
2024-08-03 18:00:00+00:00,T01,28.21,1008.4,2.85,254,1.166,0.0,57.4,38.1,3.37,Normal,18
2024-08-03 19:00:00+00:00,T01,26.69,1007.9,5.51,221,1.171,71.0,216.0,38.7,5.21,Normal,19
2024-08-03 20:00:00+00:00,T01,25.27,1008.1,8.37,230,1.177,417.2,363.3,40.9,3.34,Normal,20
2024-08-03 21:00:00+00:00,T01,24.8,1008.7,5.8,237,1.179,98.6,0.0,34.8,2.5,Normal,21
2024-08-03 22:00:00+00:00,T01,24.88,1008.8,3.51,234,1.179,0.6,10.5,34.8,2.82,Normal,22
2024-08-03 23:00:00+00:00,T01,25.37,1010.6,5.21,264,1.179,48.5,32.8,33.3,2.6,Normal,23
2024-08-04 00:00:00+00:00,T01,24.83,1009.4,4.77,191,1.18,24.9,0.0,35.7,3.21,Normal,0
2024-08-04 01:00:00+00:00,T01,24.7,1007.9,5.89,252,1.179,108.4,76.1,34.1,2.14,Normal,1
2024-08-04 02:00:00+00:00,T01,27.48,1007.7,5.19,185,1.168,47.2,113.9,40.0,2.47,Normal,2
2024-08-04 03:00:00+00:00,T01,27.42,1010.0,4.6,206,1.171,18.4,0.0,37.2,3.42,Normal,3
2024-08-04 04:00:00+00:00,T01,28.34,1010.1,7.46,189,1.167,398.4,492.6,40.5,2.05,Normal,4
2024-08-04 05:00:00+00:00,T01,31.95,1008.9,7.45,203,1.152,395.7,244.9,45.0,2.43,Normal,5
2024-08-04 06:00:00+00:00,T01,31.87,1010.3,6.44,192,1.154,182.8,378.1,44.0,3.32,Normal,6
2024-08-04 07:00:00+00:00,T01,33.73,1010.3,7.68,222,1.147,460.3,455.1,47.8,3.14,Normal,7
2024-08-04 08:00:00+00:00,T01,33.73,1007.7,10.14,202,1.144,1634.5,1465.4,54.6,3.04,Normal,8
2024-08-04 09:00:00+00:00,T01,33.55,1008.8,6.4,262,1.146,176.5,150.2,43.1,2.82,Normal,9
2024-08-04 10:00:00+00:00,T01,33.97,1007.6,5.11,211,1.143,42.2,0.0,44.9,3.05,Normal,10
2024-08-04 11:00:00+00:00,T01,34.37,1010.1,6.89,200,1.144,264.3,0.0,47.6,2.28,Normal,11
2024-08-04 12:00:00+00:00,T01,33.87,1009.0,3.53,206,1.145,0.7,0.0,45.2,3.37,Normal,12
2024-08-04 13:00:00+00:00,T01,32.72,1009.4,6.54,215,1.15,199.2,230.7,44.4,2.87,Normal,13
2024-08-04 14:00:00+00:00,T01,32.43,1009.7,4.49,200,1.151,14.9,0.0,45.0,2.57,Normal,14
2024-08-04 15:00:00+00:00,T01,30.0,1010.4,3.74,175,1.161,1.8,264.0,41.4,1.25,Normal,15
2024-08-04 16:00:00+00:00,T01,29.9,1010.6,5.21,181,1.162,48.5,142.9,42.7,2.31,Normal,16
2024-08-04 17:00:00+00:00,T01,27.24,1010.2,7.81,217,1.172,499.7,527.1,40.3,3.83,Normal,17
2024-08-04 18:00:00+00:00,T01,27.41,1012.4,4.6,223,1.173,18.4,0.0,37.9,2.84,Normal,18
2024-08-04 19:00:00+00:00,T01,26.98,1009.1,7.02,219,1.171,291.7,0.0,36.3,2.39,Normal,19
2024-08-04 20:00:00+00:00,T01,26.69,1010.3,6.19,214,1.174,145.8,0.0,35.9,3.12,Normal,20
2024-08-04 21:00:00+00:00,T01,27.08,1013.5,4.14,236,1.176,6.7,36.7,37.5,3.75,Normal,21
2024-08-04 22:00:00+00:00,T01,23.39,1011.1,7.82,205,1.188,502.8,456.8,36.2,2.66,Normal,22
2024-08-04 23:00:00+00:00,T01,26.05,1011.1,5.6,221,1.177,47.4,239.7,39.6,3.11,Normal,23
2024-08-05 00:00:00+00:00,T01,26.73,1010.9,4.71,253,1.174,13.5,14.9,35.5,2.38,Normal,0
2024-08-05 01:00:00+00:00,T01,27.47,1011.7,5.82,250,1.172,100.7,0.0,37.6,2.7,Normal,1
2024-08-05 02:00:00+00:00,T01,26.74,1012.9,6.21,261,1.177,148.5,0.0,36.7,2.23,Normal,2
2024-08-05 03:00:00+00:00,T01,29.13,1013.4,7.63,226,1.168,445.7,343.8,41.5,2.86,Normal,3
2024-08-05 04:00:00+00:00,T01,31.64,1013.6,6.3,241,1.159,161.4,250.7,41.4,2.37,Normal,4
2024-08-05 05:00:00+00:00,T01,29.95,1012.6,9.77,213,1.164,1393.3,1505.0,51.4,3.03,Normal,5
2024-08-05 06:00:00+00:00,T01,33.06,1012.0,7.5,257,1.151,409.2,343.0,45.9,2.49,Normal,6
2024-08-05 07:00:00+00:00,T01,34.63,1013.6,5.45,230,1.147,66.0,259.4,48.2,3.36,Normal,7
2024-08-05 08:00:00+00:00,T01,33.42,1015.4,4.8,210,1.154,26.2,0.0,46.1,2.79,Normal,8
2024-08-05 09:00:00+00:00,T01,35.44,1014.2,6.73,231,1.145,233.0,145.5,45.9,3.25,Normal,9
2024-08-05 10:00:00+00:00,T01,34.3,1013.7,2.5,248,1.149,0.0,0.0,46.5,2.81,Normal,10
2024-08-05 11:00:00+00:00,T01,34.27,1014.8,1.95,185,1.15,0.0,0.0,44.6,4.37,Normal,11
2024-08-05 12:00:00+00:00,T01,33.63,1013.7,3.62,211,1.151,1.1,34.4,42.2,3.9,Normal,12
2024-08-05 13:00:00+00:00,T01,33.35,1014.3,5.36,273,1.153,59.0,266.4,46.0,3.38,Normal,13
2024-08-05 14:00:00+00:00,T01,32.54,1013.4,4.56,243,1.155,17.0,0.0,43.0,3.09,Normal,14
2024-08-05 15:00:00+00:00,T01,32.28,1014.2,4.47,240,1.157,14.3,0.0,43.0,2.16,Normal,15
2024-08-05 16:00:00+00:00,T01,29.44,1014.9,3.51,203,1.168,0.6,278.7,41.4,2.77,Normal,16
2024-08-05 17:00:00+00:00,T01,28.4,1014.4,1.12,284,1.172,0.0,192.3,37.5,3.13,Normal,17
2024-08-05 18:00:00+00:00,T01,28.31,1015.4,3.56,269,1.173,0.8,0.0,37.9,2.64,Normal,18
2024-08-05 19:00:00+00:00,T01,26.87,1016.4,1.49,252,1.18,0.0,47.9,38.4,2.93,Normal,19
2024-08-05 20:00:00+00:00,T01,24.43,1016.6,5.74,209,1.19,92.4,68.9,34.0,3.68,Normal,20
2024-08-05 21:00:00+00:00,T01,25.43,1014.9,4.69,239,1.184,21.7,0.0,36.0,3.39,Normal,21
2024-08-05 22:00:00+00:00,T01,24.48,1014.7,4.85,247,1.188,28.4,134.7,37.8,2.55,Normal,22
2024-08-05 23:00:00+00:00,T01,25.44,1014.1,5.72,215,1.183,90.4,50.6,36.0,3.27,Normal,23
2024-08-06 00:00:00+00:00,T01,25.87,1013.9,5.57,217,1.181,76.2,167.9,36.1,3.08,Normal,0
2024-08-06 01:00:00+00:00,T01,27.87,1016.0,6.19,202,1.176,145.8,0.0,37.4,3.22,Normal,1
2024-08-06 02:00:00+00:00,T01,27.48,1015.8,6.08,231,1.177,131.2,152.8,41.5,2.84,Normal,2
2024-08-06 03:00:00+00:00,T01,26.95,1014.5,4.6,210,1.178,18.4,426.2,40.3,4.03,Normal,3
2024-08-06 04:00:00+00:00,T01,28.99,1015.4,3.93,204,1.171,3.6,329.1,41.3,2.25,Normal,4
2024-08-06 05:00:00+00:00,T01,31.84,1015.1,6.33,175,1.16,165.8,295.5,44.7,3.32,Normal,5
2024-08-06 06:00:00+00:00,T01,32.5,1014.4,7.7,170,1.156,466.2,363.9,42.1,2.11,Normal,6
2024-08-06 07:00:00+00:00,T01,34.65,1013.8,6.88,229,1.147,262.3,167.6,42.9,2.86,Normal,7
2024-08-06 08:00:00+00:00,T01,34.46,1015.9,4.93,242,1.151,32.3,52.1,46.1,2.57,Normal,8
2024-08-06 09:00:00+00:00,T01,34.02,1015.3,6.23,227,1.151,151.3,337.2,47.1,2.28,Normal,9
2024-08-06 10:00:00+00:00,T01,35.99,1013.2,3.88,242,1.142,3.1,0.0,46.8,3.37,Normal,10
2024-08-06 11:00:00+00:00,T01,34.06,1012.9,4.54,187,1.149,16.4,0.0,44.8,2.81,Normal,11
2024-08-06 12:00:00+00:00,T01,32.5,1013.3,2.97,206,1.155,0.0,0.0,42.7,3.12,Normal,12
2024-08-06 13:00:00+00:00,T01,35.27,1013.6,4.16,215,1.145,7.0,68.5,44.8,2.4,Normal,13
2024-08-06 14:00:00+00:00,T01,30.89,1015.4,6.64,198,1.163,216.6,186.1,43.0,2.28,Normal,14
2024-08-06 15:00:00+00:00,T01,31.74,1015.1,4.62,245,1.16,19.1,4.5,41.5,2.53,Normal,15
2024-08-06 16:00:00+00:00,T01,30.75,1014.5,6.08,169,1.163,78.7,149.6,41.9,2.46,Normal,16
2024-08-06 17:00:00+00:00,T01,28.8,1014.2,2.79,195,1.17,0.0,95.1,40.0,2.72,Normal,17
2024-08-06 18:00:00+00:00,T01,25.73,1014.5,2.87,199,1.183,0.0,0.0,33.9,2.53,Normal,18
2024-08-06 19:00:00+00:00,T01,27.31,1013.6,4.23,200,1.175,8.4,46.4,39.9,2.85,Normal,19
2024-08-06 20:00:00+00:00,T01,24.33,1014.0,5.23,223,1.187,49.8,0.0,33.2,3.06,Normal,20
2024-08-06 21:00:00+00:00,T01,23.67,1011.4,4.46,159,1.187,14.0,0.0,34.8,2.63,Normal,21
2024-08-06 22:00:00+00:00,T01,24.32,1009.6,6.76,243,1.182,238.7,345.4,37.6,3.41,Normal,22
2024-08-06 23:00:00+00:00,T01,26.12,1011.6,4.56,244,1.178,17.0,0.0,36.4,2.48,Normal,23
2024-08-07 00:00:00+00:00,T01,25.88,1014.0,8.22,229,1.181,638.7,722.1,41.1,2.81,Normal,0
2024-08-07 01:00:00+00:00,T01,27.16,1011.6,7.86,257,1.173,515.5,489.1,41.2,2.51,Normal,1
2024-08-07 02:00:00+00:00,T01,26.97,1010.8,4.91,288,1.173,31.3,0.0,36.4,2.01,Normal,2
2024-08-07 03:00:00+00:00,T01,28.85,1012.4,7.81,232,1.168,499.7,695.2,44.6,3.11,Normal,3
2024-08-07 04:00:00+00:00,T01,28.94,1011.2,6.73,251,1.166,233.0,36.0,41.0,2.45,Normal,4
2024-08-07 05:00:00+00:00,T01,30.66,1010.8,8.42,248,1.159,715.0,893.0,51.3,2.92,Normal,5
2024-08-07 06:00:00+00:00,T01,33.12,1013.2,6.07,253,1.152,129.9,289.2,46.0,1.98,Normal,6
2024-08-07 07:00:00+00:00,T01,33.08,1010.4,7.18,219,1.149,328.0,235.1,45.5,2.2,Normal,7
2024-08-07 08:00:00+00:00,T01,34.84,1012.2,7.88,219,1.145,521.9,651.7,50.2,3.76,Normal,8
2024-08-07 09:00:00+00:00,T01,34.28,1010.2,1.96,258,1.145,0.0,44.7,46.8,2.32,Normal,9
2024-08-07 10:00:00+00:00,T01,34.72,1010.6,3.42,228,1.144,0.3,67.7,43.3,1.75,Normal,10
2024-08-07 11:00:00+00:00,T01,34.95,1010.6,6.39,262,1.143,174.9,140.2,47.6,3.18,Normal,11
2024-08-07 12:00:00+00:00,T01,34.07,1010.7,5.3,264,1.146,54.6,34.3,42.8,2.49,Normal,12
2024-08-07 13:00:00+00:00,T01,34.35,1011.1,6.83,231,1.145,252.3,352.6,44.9,3.16,Normal,13
2024-08-07 14:00:00+00:00,T01,33.19,1010.9,5.48,253,1.15,68.5,326.6,45.9,2.57,Normal,14
2024-08-07 15:00:00+00:00,T01,32.75,1010.0,2.94,247,1.15,0.0,195.3,44.0,2.82,Normal,15
2024-08-07 16:00:00+00:00,T01,30.01,1009.7,6.05,235,1.16,127.4,86.9,42.4,2.63,Normal,16
2024-08-07 17:00:00+00:00,T01,28.57,1008.4,4.13,271,1.164,6.5,278.4,40.5,3.8,Normal,17
2024-08-07 18:00:00+00:00,T01,26.65,1009.6,4.82,239,1.173,27.1,246.1,41.3,2.86,Normal,18
2024-08-07 19:00:00+00:00,T01,26.24,1009.7,4.7,241,1.175,22.1,103.4,39.2,3.31,Normal,19
2024-08-07 20:00:00+00:00,T01,26.09,1009.0,6.42,188,1.175,179.6,325.8,38.8,2.86,Normal,20
2024-08-07 21:00:00+00:00,T01,24.78,1008.1,3.91,239,1.179,3.4,24.8,35.3,2.46,Normal,21
2024-08-07 22:00:00+00:00,T01,24.99,1009.1,4.51,186,1.179,15.5,0.0,33.6,2.83,Normal,22
2024-08-07 23:00:00+00:00,T01,25.71,1007.9,3.47,211,1.175,0.5,0.0,36.7,2.16,Normal,23
2024-08-08 00:00:00+00:00,T01,25.91,1009.3,9.93,266,1.176,1494.5,1351.5,47.0,2.13,Normal,0
2024-08-08 01:00:00+00:00,T01,26.24,1008.8,5.54,265,1.174,73.6,43.1,37.3,1.99,Normal,1
2024-08-08 02:00:00+00:00,T01,28.52,1008.3,6.02,206,1.164,123.7,195.0,39.2,3.13,Normal,2
2024-08-08 03:00:00+00:00,T01,28.6,1009.2,5.41,179,1.165,62.9,178.0,39.8,2.75,Normal,3
2024-08-08 04:00:00+00:00,T01,30.36,1011.1,6.36,216,1.161,170.3,222.0,41.3,2.18,Normal,4
2024-08-08 05:00:00+00:00,T01,32.64,1009.8,6.37,201,1.15,171.9,0.0,42.3,2.6,Normal,5
2024-08-08 06:00:00+00:00,T01,33.13,1010.6,8.58,217,1.149,780.2,784.6,51.1,3.08,Normal,6
2024-08-08 07:00:00+00:00,T01,32.91,1009.0,6.9,175,1.149,266.4,150.4,44.6,3.59,Normal,7
2024-08-08 08:00:00+00:00,T01,33.7,1009.0,7.06,237,1.145,300.5,374.7,47.3,3.31,Normal,8
2024-08-08 09:00:00+00:00,T01,35.28,1009.8,4.93,244,1.141,32.3,188.1,47.5,2.51,Normal,9
2024-08-08 10:00:00+00:00,T01,34.93,1010.1,5.24,172,1.142,50.5,0.0,46.8,2.81,Normal,10
2024-08-08 11:00:00+00:00,T01,33.21,1012.4,7.03,181,1.151,293.9,364.6,47.8,1.84,Normal,11
2024-08-08 12:00:00+00:00,T01,35.52,1011.3,4.74,191,1.141,23.7,0.0,46.6,2.61,Normal,12
2024-08-08 13:00:00+00:00,T01,33.57,1011.2,4.89,223,1.149,30.3,0.0,42.7,3.55,Normal,13
2024-08-08 14:00:00+00:00,T01,33.4,1011.4,1.19,152,1.149,0.0,293.5,44.5,2.62,Normal,14
2024-08-08 15:00:00+00:00,T01,30.95,1008.5,5.04,210,1.155,38.1,0.0,43.6,3.08,Normal,15
2024-08-08 16:00:00+00:00,T01,31.25,1010.2,4.77,209,1.156,24.9,0.0,40.9,3.12,Normal,16
2024-08-08 17:00:00+00:00,T01,28.44,1010.9,6.31,182,1.168,162.8,289.7,42.5,3.12,Normal,17
2024-08-08 18:00:00+00:00,T01,27.31,1012.3,0.0,224,1.174,0.0,273.8,37.9,3.61,Normal,18
2024-08-08 19:00:00+00:00,T01,25.52,1012.0,4.52,160,1.18,15.8,0.0,35.3,2.15,Normal,19
2024-08-08 20:00:00+00:00,T01,25.54,1011.3,4.44,179,1.18,13.4,0.0,33.3,2.42,Normal,20
2024-08-08 21:00:00+00:00,T01,25.0,1011.6,4.4,195,1.182,12.3,6.0,34.8,3.7,Normal,21
2024-08-08 22:00:00+00:00,T01,24.74,1012.6,3.61,242,1.184,1.0,0.0,34.8,3.02,Normal,22
2024-08-08 23:00:00+00:00,T01,25.42,1011.9,5.22,210,1.181,49.1,124.1,37.8,1.85,Normal,23
2024-08-09 00:00:00+00:00,T01,25.61,1011.1,6.71,205,1.179,229.3,100.5,35.6,2.94,Normal,0
2024-08-09 01:00:00+00:00,T01,27.15,1011.6,5.41,235,1.174,62.9,47.1,40.2,2.83,Normal,1
2024-08-09 02:00:00+00:00,T01,26.83,1013.2,5.03,212,1.177,37.6,0.0,36.1,3.1,Normal,2
2024-08-09 03:00:00+00:00,T01,28.18,1011.6,5.64,213,1.169,82.6,0.0,38.3,2.53,Normal,3
2024-08-09 04:00:00+00:00,T01,30.07,1013.8,5.01,224,1.165,36.5,373.8,45.1,2.41,Normal,4
2024-08-09 05:00:00+00:00,T01,32.06,1013.1,5.61,246,1.156,79.8,0.0,42.0,2.6,Normal,5
2024-08-09 06:00:00+00:00,T01,33.72,1014.4,4.54,309,1.152,16.4,232.9,45.8,3.31,Normal,6
2024-08-09 07:00:00+00:00,T01,33.99,1015.2,2.33,209,1.151,0.0,19.4,44.1,3.65,Normal,7
2024-08-09 08:00:00+00:00,T01,32.75,1012.9,6.47,251,1.154,187.6,0.0,43.4,2.36,Normal,8
2024-08-09 09:00:00+00:00,T01,35.0,1013.4,1.82,233,1.146,0.0,167.2,46.8,2.32,Normal,9
2024-08-09 10:00:00+00:00,T01,36.15,1013.4,4.47,243,1.141,14.3,0.0,46.4,2.17,Normal,10
2024-08-09 11:00:00+00:00,T01,34.87,1012.9,1.88,275,1.146,0.0,0.0,43.9,3.01,Normal,11
2024-08-09 12:00:00+00:00,T01,33.91,1013.5,3.82,260,1.15,2.5,0.0,43.7,2.88,Normal,12
2024-08-09 13:00:00+00:00,T01,33.83,1014.2,2.28,261,1.151,0.0,0.0,44.2,2.61,Normal,13
2024-08-09 14:00:00+00:00,T01,32.08,1015.1,3.6,230,1.159,1.0,167.4,41.4,2.62,Normal,14
2024-08-09 15:00:00+00:00,T01,31.82,1013.4,2.34,216,1.158,0.0,87.9,43.9,2.68,Normal,15
2024-08-09 16:00:00+00:00,T01,30.0,1014.8,1.17,251,1.166,0.0,29.4,43.1,2.93,Normal,16
2024-08-09 17:00:00+00:00,T01,30.21,1015.2,3.96,228,1.166,4.0,0.0,40.7,2.66,Normal,17
2024-08-09 18:00:00+00:00,T01,28.39,1016.4,5.6,227,1.174,78.9,0.0,39.5,2.3,Normal,18
2024-08-09 19:00:00+00:00,T01,26.04,1012.9,4.7,246,1.179,22.1,103.1,38.2,3.29,Normal,19
2024-08-09 20:00:00+00:00,T01,26.17,1016.1,4.99,207,1.183,35.4,95.9,35.8,1.45,Normal,20
2024-08-09 21:00:00+00:00,T01,26.09,1016.0,3.19,216,1.183,0.0,125.3,38.0,3.31,Normal,21
2024-08-09 22:00:00+00:00,T01,24.68,1014.1,5.11,250,1.186,42.2,231.6,35.9,2.82,Normal,22
2024-08-09 23:00:00+00:00,T01,24.99,1013.1,5.8,228,1.184,98.6,0.0,36.7,3.51,Normal,23
2024-08-10 00:00:00+00:00,T01,23.85,1015.8,4.92,239,1.191,31.8,186.5,35.6,2.81,Normal,0
2024-08-10 01:00:00+00:00,T01,27.53,1014.5,7.61,199,1.175,439.9,448.5,41.4,3.16,Normal,1
2024-08-10 02:00:00+00:00,T01,27.05,1015.1,6.5,240,1.178,192.5,437.2,39.0,3.35,Normal,2
2024-08-10 03:00:00+00:00,T01,26.75,1014.7,7.48,194,1.179,403.8,241.7,38.1,3.27,Normal,3
2024-08-10 04:00:00+00:00,T01,28.11,1014.5,6.53,246,1.173,197.5,268.0,39.2,3.25,Normal,4
2024-08-10 05:00:00+00:00,T01,31.31,1014.2,6.23,230,1.161,151.3,206.5,44.0,2.62,Normal,5
2024-08-10 06:00:00+00:00,T01,33.3,1015.6,7.35,220,1.154,369.6,529.8,46.2,5.13,Normal,6
2024-08-10 07:00:00+00:00,T01,33.29,1015.3,7.0,245,1.154,287.4,109.5,44.8,3.56,Normal,7
2024-08-10 08:00:00+00:00,T01,34.75,1016.2,7.29,205,1.15,354.5,171.4,45.7,2.22,Normal,8
2024-08-10 09:00:00+00:00,T01,33.76,1016.1,4.88,189,1.153,29.8,8.8,42.3,3.04,Normal,9
